COSMIC ID,AMHR2,AMH,UBE2I,LAMA3,EEF2K,MDM2,PTPN7,ELK1,VEGFD,SMAD9,MAP2K3,MAP2K4,PLD2,SMAD1,LAMB1,CISH,NRAS,LAMA1,GNAI1,ARF6,MAPT,DBNL,KALRN,IL5,MAPK1,PLCG1,GNAO1,KRAS,LAMB3,MAP2K6,HDAC4,SNTA1,SMAD5,RAB11FIP3,VEGFA,XPO1,GNAZ,RAN,LAMA5,SUMO1,HDAC1,MAP3K8,FOS,STMN1,PLAUR,VEGFC,ITGA6,CCND1,STAT5A,PRKCB,CRKL,RAC1,PIAS1,SMAD4,RAF1,LAT,GNAI3,PRKCA,NME1,LCP2,NRP2,FLT1,LYN,ACVR1,PTPN11,SDCBP,JUN,GNAI2,RAB11A,LAMC2,MAP4K1,TLX2,FLT4,MAPK13,CRK,VEGFB,LAMB2,KDR,ITGB4,MAP2K1,MAPK8,MAP3K7,MAPK12,BRAF,RANBP2,RHOA,PIM1,FKBP1A,HRAS,BMP7,RANGAP1,PGF,GNA13,GRB2,GNA12,BMPR2,ARF1,TIAM1,PIK3CA,CDC42,MAP3K20,NRP1,PIK3R1,PIAS2,IL5RA,MAP3K1,PLD1,PKN1,CSF2RB,LAMA2,MAPK3,S1PR4,STAT5B,PIP5K1A,S1PR5,GRAP2,JAK2,LAMC1
949094,0.0144,4.2972,7.2718,1.5311,3.3674,5.3501,0.0426,5.4951,0.0704,2.3978,6.6623,4.8364,4.3547,3.2388,7.8816,0.9928,6.2196,0.6871,5.2994,6.2361,0.3785,6.9852,3.3147,0.0426,6.6143,6.7677,5.7527,4.3854,6.0631,0.111,2.9411,4.8914,5.0892,4.4803,6.3721,7.563,0.6323,9.8091,4.2891,7.2657,7.0484,1.6871,5.939,9.8671,5.986,6.6226,5.1898,6.8335,2.1506,0.0426,4.9402,8.6655,4.8079,6.2885,6.2464,1.7004,3.6993,4.6633,7.3562,0.0566,6.4527,1.0496,3.0976,4.7164,6.4162,6.2302,6.9957,8.3468,7.4881,2.1635,0.3334,0.1763,0.0286,2.0,5.6378,5.7921,7.2585,0.2869,1.1953,6.6894,6.5226,4.6352,4.4816,4.121,5.1827,8.9914,4.8048,9.4832,6.5771,0.2141,7.1233,3.7214,5.0566,6.3165,6.3621,4.6982,8.8146,0.2016,4.6282,8.2591,5.2836,6.8241,4.2055,4.6786,0.0,2.7908,3.306,6.2228,0.0841,0.9561,6.4355,0.0976,4.8718,6.4256,2.0391,0.2987,3.106,7.946
910853,0.5361,4.2334,7.8181,3.5705,4.0303,6.0798,0.0144,4.6525,0.433,2.2265,4.8258,4.6899,4.3045,3.7159,6.5532,0.546,6.4814,0.0566,5.6091,6.0559,3.5423,6.1483,1.1043,0.0426,6.3014,7.1381,3.0409,6.4477,0.0286,3.3406,5.3512,4.6542,5.546,5.5999,4.3653,7.8226,3.3547,10.655,3.8768,7.7541,7.723,1.0144,5.3981,9.6368,5.3964,0.7485,6.5416,7.6803,3.0531,5.3125,7.1095,8.331,4.5141,6.8747,5.7774,1.3951,3.3674,4.8718,7.9281,0.0144,2.6736,4.8232,3.851,3.6135,6.5764,6.8336,2.2388,7.5365,7.2457,0.0,0.4222,0.0704,0.0,0.2869,5.5037,6.6456,6.6476,1.9819,3.5148,5.5429,4.5558,4.8575,5.4976,4.0531,4.9704,8.5895,3.1391,8.9941,5.6977,2.8012,7.7671,2.0426,4.796,5.9088,6.002,4.1119,8.9695,1.696,4.6064,7.7548,5.4446,2.4854,3.568,4.2765,0.0144,2.211,4.6656,6.3379,0.0144,0.9107,6.4386,0.3674,8.4103,5.805,2.2388,1.4647,2.905,6.3027
1298141,0.0144,0.9855,6.9233,3.7355,3.3909,5.588,0.1243,5.1715,0.3219,0.251,5.4266,3.2913,4.3067,3.5595,7.4094,0.7137,5.3649,0.0426,4.4148,5.3576,0.0286,6.4168,0.4114,0.2016,5.4101,6.8147,0.251,3.6645,6.7407,0.9107,1.546,3.6005,4.2555,4.6177,5.0938,6.6044,0.7398,8.8705,8.6935,6.6307,7.4587,2.025,4.3038,7.7104,5.4226,3.9059,8.6028,6.6199,2.5336,0.0704,4.8545,7.8061,3.4383,0.2388,5.3349,1.5059,4.1252,4.4396,8.0519,3.1342,4.5027,0.0,2.3674,4.5354,5.7674,7.5532,5.2731,7.3369,7.7993,8.0469,1.0,0.0704,0.0566,0.5558,5.323,5.9416,7.0863,0.0144,8.0416,5.4373,4.5832,4.0609,4.4522,2.9126,4.3716,8.736,2.8237,9.4276,6.4941,0.0566,6.7904,3.4931,3.4555,5.3809,5.1558,3.3363,8.85,1.5801,3.3533,8.2484,3.861,2.9203,3.3992,3.1359,0.0841,1.0841,2.1043,4.8053,0.7312,0.3334,4.2705,0.5361,3.4005,5.6044,1.3618,0.0,2.7634,7.2106
1240181,3.2645,3.8359,7.3652,0.1635,3.856,6.9101,0.111,4.9006,1.4168,4.9891,4.6159,4.4983,5.4944,4.4229,6.9775,2.7782,5.8694,0.0286,5.7753,4.9768,5.2555,5.9095,4.511,0.2141,5.9679,7.3498,6.4548,4.5747,0.1763,4.1326,3.4502,4.1069,4.856,5.0678,6.9451,7.0325,4.3944,10.6467,4.701,7.6018,5.8342,0.0144,2.3674,10.1914,3.4128,1.5509,5.7401,8.7199,0.7655,0.0,5.4202,7.8476,4.5644,6.4002,6.4087,2.2327,3.2705,4.8595,8.5673,0.0144,0.5656,1.3785,5.1461,4.2645,6.0148,6.1849,5.0917,6.9669,7.9518,0.1763,0.3896,6.6921,0.0,1.5607,5.366,6.6813,4.7208,0.0,0.7312,5.3565,6.6116,4.7981,5.6091,4.5963,4.926,8.8129,4.6247,7.592,6.5779,6.7655,6.594,7.5829,5.4074,6.1274,5.4774,4.14,8.2943,2.5286,3.5753,7.646,3.9117,6.6352,5.6387,4.3785,0.3103,5.7358,2.1699,6.2012,0.0144,1.0426,5.5151,0.0426,3.2219,5.6188,0.0,0.189,2.1667,5.7018
949162,0.2869,0.6508,7.2744,1.0286,3.541,5.9115,0.3334,5.2529,0.0704,3.9579,4.3255,4.6047,3.6182,3.7452,6.2194,0.9411,6.0909,0.0704,4.9968,4.8197,5.7238,5.4138,3.9411,0.0,6.5914,7.4866,2.0036,4.8176,2.4854,2.7761,2.9279,2.5261,4.8232,4.7197,7.9338,7.6692,5.0317,9.8462,5.2943,7.1085,7.8627,2.0215,3.9383,10.161,4.144,0.0,3.5705,7.3826,0.5261,5.1014,5.7645,7.115,4.99,6.7324,6.3357,3.332,3.0215,2.9672,7.3573,0.0566,0.2388,0.0,0.3785,2.9184,6.2767,7.2361,4.9045,6.9893,7.3806,0.263,2.5033,0.2388,3.9021,1.406,5.0544,5.5404,5.488,0.0286,0.9107,4.9973,4.1514,5.3356,3.1843,4.9222,5.0566,8.2008,2.7203,8.6932,5.0738,2.1177,5.2441,2.1276,4.4141,5.594,4.6848,3.6519,8.357,3.6427,3.8166,7.8935,4.1763,2.4383,4.2623,4.8084,0.0566,2.2203,0.6599,5.7756,0.4854,0.3219,5.7222,0.0426,4.7004,6.2493,1.0772,0.0286,2.7049,3.7431
905975,0.0,3.8176,7.5534,0.6781,4.2683,5.31,0.0,5.6854,0.263,0.7655,6.6101,3.7495,4.8017,3.26,6.5905,1.0976,5.6985,4.8339,5.7126,5.5348,0.2265,6.0689,1.6826,0.0841,6.8413,6.8232,1.3161,3.8104,2.1922,3.2854,4.3597,4.3111,4.9982,4.4289,4.4443,7.5026,3.4489,10.5324,2.7991,7.0376,7.2811,1.696,2.9241,9.3581,5.0862,0.3561,6.7233,6.9586,3.7824,0.0566,4.852,8.2323,4.7634,5.4548,5.7682,1.6041,3.2839,1.4114,7.727,2.9317,6.8479,3.1843,3.3074,5.0909,6.6185,8.3902,4.7323,7.783,8.4141,0.111,0.3334,0.6415,0.0,0.4647,5.6642,6.3698,6.1504,0.84,0.5361,5.9528,4.9011,3.851,3.7344,3.5607,4.2979,8.9053,2.0976,9.8908,5.367,1.5801,6.9908,1.9146,5.0435,6.0011,4.9131,3.9542,8.6754,3.3632,4.3377,8.1146,4.6288,1.3561,4.0738,3.497,0.0,4.5491,4.5154,5.5692,0.0,0.774,6.0598,0.0144,4.2087,5.2055,0.9107,0.0841,2.6736,6.1278
907298,0.0,1.8718,6.5329,0.2016,3.2048,5.9198,0.111,4.433,0.0976,2.0942,5.0112,4.054,4.0295,3.8728,5.0921,0.9855,5.4363,4.1683,0.2265,6.0168,0.6229,5.5144,0.1243,0.0286,5.3516,5.8437,0.111,3.0161,2.0036,0.0286,2.4303,3.7876,4.375,4.849,5.1554,7.2184,3.3978,10.2116,5.6352,7.8122,7.4714,0.6041,9.0983,8.6308,1.0566,0.0976,4.568,6.5783,0.1243,0.1375,4.7038,7.5261,3.6462,5.327,6.2475,1.1699,4.3298,0.0426,8.7075,0.0144,0.2987,0.0286,0.0976,3.8001,5.8856,5.2772,6.8377,7.4972,7.7923,0.4005,1.2203,0.1763,0.0566,0.2987,5.7735,4.7782,8.8214,0.0144,1.111,4.7268,4.6921,8.13,5.1699,3.2001,5.6165,9.1716,4.2227,7.8732,5.4535,0.1506,5.7845,0.3674,3.6747,5.6873,4.4303,4.437,7.8374,2.7268,3.067,7.7759,4.3016,6.2756,0.1375,3.546,0.0,0.774,4.111,4.6904,0.0286,0.0,4.054,0.0144,4.3547,5.5972,0.0841,0.0,1.8679,6.1048
908472,0.275,2.6622,6.8828,6.191,4.4581,5.0321,0.189,4.5916,2.848,1.6088,5.8582,3.843,4.9001,4.0557,6.0751,0.6229,4.6456,0.189,3.7666,5.8107,2.0531,4.9841,2.121,0.3561,5.5577,4.9612,1.4854,4.373,7.4465,3.6182,3.5033,2.5607,4.1077,4.1035,6.958,6.7283,1.384,9.8537,8.8416,7.2514,6.9375,3.0286,6.4048,7.7716,4.0798,3.8992,4.9449,8.3094,0.4751,0.84,5.1938,7.2098,4.3561,5.5144,5.3374,3.5546,3.7677,4.3298,8.0102,0.1243,1.3674,0.0704,2.3248,3.1457,5.189,4.9741,3.3688,5.78,7.9849,6.2722,1.585,0.189,2.8012,4.8232,4.393,5.3345,8.0205,0.0566,6.7192,5.2578,4.3327,4.0557,2.7761,2.6369,4.6053,7.6653,4.263,6.4656,5.0807,6.431,6.5929,0.3448,3.7666,5.7554,3.6135,3.8074,8.3598,3.7876,3.756,6.8267,3.943,2.2172,2.9165,3.5336,0.0976,2.0391,3.7442,5.1081,0.0566,0.696,6.4461,0.8074,3.8963,5.7965,3.3951,0.0704,1.3161,5.7842
1240219,0.0841,1.9819,6.9417,2.7093,2.9819,5.0,0.0426,4.8699,0.4647,0.1635,5.4611,3.98,4.2126,4.7236,5.5732,0.189,5.3579,0.0,7.8322,6.2787,2.5607,6.0906,3.854,0.2016,6.7719,5.405,0.1635,4.2824,4.3709,1.3951,3.2001,4.3681,4.7729,4.2743,7.518,6.5908,1.189,8.508,7.8723,6.8121,7.3284,4.1001,8.0733,9.3901,4.7038,1.1043,7.5129,7.4681,3.0687,0.0426,4.7549,8.3539,4.6381,0.6135,4.6124,2.9088,2.7247,5.0828,5.8495,0.0,6.5595,0.7991,3.2418,4.8535,5.7949,6.7319,7.0798,7.7745,7.7891,1.4489,0.2869,0.0286,0.0,0.9928,5.0308,5.8542,6.9357,0.0566,9.662,5.1619,4.8977,4.2048,5.4316,3.7225,5.1635,8.5705,6.0235,7.1725,5.479,6.8675,5.434,1.7442,4.6943,5.5503,4.5595,4.9635,8.7823,2.5922,4.4436,6.9654,4.0909,7.0518,2.84,2.86,0.0,3.8629,4.6582,5.7054,0.0,0.4436,5.5975,0.0841,4.6206,4.7049,0.0426,0.0,2.9336,5.5665
1298362,0.0286,0.2016,7.0045,7.4078,2.9964,4.3723,0.0704,4.342,0.0566,0.0841,5.9577,4.5674,5.3792,3.3477,5.8276,1.4803,5.0934,4.5619,5.2396,5.1803,0.8639,5.9653,0.1243,0.0704,6.9467,5.6035,3.7104,3.8217,9.303,0.5059,2.6938,4.5185,4.251,4.8079,8.2206,6.0951,0.2141,9.2286,7.5845,6.9483,6.0982,3.4463,7.104,7.0469,5.9966,5.1759,6.7513,8.5278,3.1603,0.0,4.7866,9.348,4.6375,4.4396,6.8268,1.8953,2.8053,1.9373,6.1235,0.0841,4.1424,0.0144,6.1027,4.1027,5.5589,6.2284,6.8651,7.5873,7.4551,9.3268,0.2987,0.5656,0.0841,4.7082,5.3916,7.0456,7.5373,0.0,9.7582,6.0553,6.1904,3.9155,5.2608,3.5765,4.0108,8.4207,6.8165,8.3317,6.2257,0.5753,7.0796,1.5311,4.541,5.373,5.2705,4.6899,8.0782,2.3505,3.5008,7.6662,5.9725,4.0144,3.3161,2.2388,0.0,3.5084,4.3291,6.5,0.0144,0.4114,6.1483,0.6135,4.7639,5.3309,4.2935,0.0,1.9891,6.2508
